country,all_ip
Russia,205169
Ukraine,14211
Belarus,5231
Kazakhstan,3339
United States,2596
Republic of Moldova,1652
Germany,1161
Armenia,981
Netherlands,743
Thailand,673
Latvia,634
Azerbaijan,615
Spain,591
United Kingdom,590
Uzbekistan,573
Turkey,514
Italy,483
Czech Republic,483
Israel,448
China,415
Kyrgyzstan,415
Georgia,359
Poland,351
Vietnam,349
France,323
Estonia,315
Bulgaria,305
Canada,282
Romania,259
Brazil,254
Republic of Lithuania,250
India,246
Indonesia,242
Republic of Korea,198
Japan,187
Sweden,162
Cyprus,156
Montenegro,156
Finland,153
Australia,151
Switzerland,139
United Arab Emirates,126
Greece,120
Austria,96
Pakistan,95
Morocco,79
Belgium,78
Hungary,70
Portugal,67
Denmark,65
Mexico,62
Nigeria,62
Philippines,61
Norway,61
Serbia,60
Malaysia,50
Egypt,47
New Zealand,47
Ireland,44
Slovenia,44
Slovak Republic,41
Dominican Republic,40
Argentina,37
Venezuela,37
Turkmenistan,35
Peru,33
Iran,33
South Africa,31
Chile,29
Taiwan,27
Cambodia,26
Bangladesh,24
Palestine,23
Croatia,22
Sri Lanka,22
Malta,19
Tajikistan,19
Algeria,18
Colombia,18
Iraq,14
Saudi Arabia,13
Macedonia,12
Luxembourg,12
Ecuador,12
Kenya,11
Uruguay,11
Lebanon,11
Ghana,10
Iceland,10
Hashemite Kingdom of Jordan,10
Nepal,9
Qatar,9
Nicaragua,7
Seychelles,7
Hong Kong,7
Costa Rica,7
Mongolia,7
Togo,7
Maldives,6
Myanmar [Burma],6
Bosnia and Herzegovina,6
Antigua and Barbuda,5
Panama,5
Uganda,4
Tanzania,4
Afghanistan,4
Kuwait,4
Ivory Coast,3
Tunisia,3
Mauritius,3
Senegal,3
Barbados,3
Cuba,2
Brunei,2
Bolivia,2
Benin,2
Honduras,2
Guatemala,2
Bahrain,2
Angola,2
Andorra,2
Niger,2
Belize,1
Fiji,1
Bahamas,1
Vanuatu,1
Cameroon,1
Trinidad and Tobago,1
Paraguay,1
French Polynesia,1
Greenland,1
Guam,1
Oman,1
Guinea,1
Guyana,1
Suriname,1
Haiti,1
Jamaica,1
Albania,1
Libya,1
Liechtenstein,1
Madagascar,1
Republic of the Congo,1
Mozambique,1
Zimbabwe,1
