,country,region,all_ip
0,Russia,St.-Petersburg,26699
1,Russia,Moscow Oblast,14753
2,Russia,Krasnodarskiy Kray,9920
3,Russia,Sverdlovskaya Oblast',9516
4,Russia,Novosibirskaya Oblast',7569
5,Russia,Samarskaya Oblast',7563
6,Russia,Nizhegorodskaya Oblast',6451
7,Russia,Rostov,6292
8,Russia,Tatarstan,6027
9,Russia,Chelyabinsk,5908
10,Russia,Perm Krai,4909
11,Russia,Bashkortostan,4842
12,Russia,Irkutskaya Oblast',4477
13,Russia,Voronezhskaya Oblast',4275
14,Russia,Saratovskaya Oblast',3494
15,Russia,Krasnoyarskiy Kray,3432
16,Belarus,Minsk,3182
17,Russia,Yaroslavskaya Oblast',3027
18,Russia,Primorskiy Kray,2901
19,Russia,Omskaya Oblast',2857
20,Russia,Volgogradskaya Oblast',2833
21,Russia,Tyumenskaya Oblast',2811
22,Russia,Stavropol'skiy Kray,2714
23,Russia,Altai Krai,2635
24,Ukraine,Kyiv City,2579
25,Russia,Kemerovskaya Oblast',2574
26,Russia,Khabarovsk Krai,2561
27,Russia,Kaliningradskaya Oblast',2424
28,Ukraine,Crimea,2372
29,Russia,Tul'skaya Oblast',2218
30,Russia,Udmurtskaya Respublika,2168
31,Russia,Tomskaya Oblast',2150
32,Russia,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,2134
33,Russia,Vladimirskaya Oblast',1979
34,Russia,Ulyanovsk Oblast,1961
35,Russia,Tverskaya Oblast',1915
36,Russia,Ryazanskaya Oblast',1632
37,Russia,Kaluzhskaya Oblast',1626
38,Russia,Penzenskaya Oblast',1610
39,Russia,Vologodskaya Oblast',1609
40,Russia,Ivanovskaya Oblast',1471
41,Russia,Kirovskaya Oblast',1463
42,Russia,Chuvashia,1437
43,Russia,Belgorodskaya Oblast',1418
44,Russia,Leningrad,1408
45,Russia,Orenburgskaya Oblast',1342
46,Russia,Lipetskaya Oblast',1295
47,Kazakhstan,Almaty Qalasy,1270
48,Ukraine,Misto Sevastopol',1221
49,Russia,Bryanskaya Oblast',1209
50,Russia,Astrakhanskaya Oblast',1147
51,Ukraine,Kharkivs'ka Oblast',1139
52,Ukraine,Donets'ka Oblast',1135
