country,Unnamed: 0,region,all_ip
Russia,0,St.-Petersburg,57816
Russia,1,Moscow Oblast,34384
Russia,2,Sverdlovskaya Oblast',24031
Russia,3,Krasnodarskiy Kray,23361
Russia,4,Samarskaya Oblast',16991
Russia,5,Novosibirskaya Oblast',16231
Russia,6,Rostov,15368
Russia,7,Nizhegorodskaya Oblast',15035
Russia,8,Tatarstan,14864
Russia,9,Chelyabinsk,14621
Russia,10,Bashkortostan,13449
Russia,11,Perm Krai,11906
Russia,12,Irkutskaya Oblast',10724
Russia,13,Voronezhskaya Oblast',9618
Russia,14,Krasnoyarskiy Kray,8695
Russia,15,Saratovskaya Oblast',8465
Russia,16,Volgogradskaya Oblast',7478
Russia,17,Omskaya Oblast',7352
Russia,18,Kemerovskaya Oblast',7025
Russia,19,Tyumenskaya Oblast',7017
Russia,20,Primorskiy Kray,6925
Russia,21,Yaroslavskaya Oblast',6631
Russia,22,Stavropol'skiy Kray,6605
Russia,23,Khabarovsk Krai,6339
Russia,24,Altai Krai,6235
Russia,25,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,6128
Russia,26,Kaliningradskaya Oblast',5631
Russia,27,Tul'skaya Oblast',5613
Russia,28,Udmurtskaya Respublika,5485
Russia,29,Tomskaya Oblast',5450
Russia,30,Ulyanovsk Oblast,5055
Russia,31,Vladimirskaya Oblast',4746
Russia,32,Tverskaya Oblast',4445
Russia,33,Kaluzhskaya Oblast',3995
Russia,34,Vologodskaya Oblast',3994
Russia,35,Chuvashia,3918
Russia,36,Orenburgskaya Oblast',3851
Russia,37,Kirovskaya Oblast',3788
Russia,38,Ryazanskaya Oblast',3787
Russia,39,Penzenskaya Oblast',3776
Russia,40,Belgorodskaya Oblast',3641
Russia,41,Ivanovskaya Oblast',3512
Russia,42,Leningrad,3348
Russia,43,Lipetskaya Oblast',3161
Russia,44,Arkhangelskaya,2990
Russia,45,Bryanskaya Oblast',2957
Russia,46,Novgorodskaya Oblast',2906
Russia,47,Astrakhanskaya Oblast',2877
Russia,48,Murmansk,2743
Russia,49,Komi Republic,2666
Russia,50,Kurskaya Oblast',2433
Russia,51,Respublika Mariy-El,2432
Russia,52,Smolenskaya Oblast',2359
Russia,53,Orlovskaya Oblast',2199
Russia,54,Tambovskaya Oblast',2096
Russia,55,Kurganskaya Oblast',2076
Russia,56,Kostromskaya Oblast',1925
Russia,57,Republic of Karelia,1856
Russia,58,Dagestan,1833
Russia,59,Transbaikal Territory,1746
Russia,60,Respublika Mordoviya,1653
Russia,61,Amurskaya Oblast',1633
Russia,62,Respublika Buryatiya,1581
Russia,63,Respublika Sakha (Yakutiya),1566
Russia,64,Sakhalinskaya Oblast',1431
Russia,65,Yamalo-Nenetskiy Avtonomnyy Okrug,1344
Russia,66,Pskovskaya Oblast',1282
Russia,67,North Ossetia,1110
Russia,68,Respublika Khakasiya,1076
Russia,69,Respublika Adygeya,827
Russia,70,Kabardino-Balkarskaya Respublika,794
Russia,71,Chechnya,756
Russia,72,Karachayevo-Cherkesiya,529
Russia,73,Kamtchatski Kray,451
Russia,74,Respublika Ingushetiya,300
Russia,75,Magadanskaya Oblast',247
Russia,76,Kalmykiya,178
Russia,77,Respublika Altay,153
Russia,78,Respublika Tyva,144
Russia,79,Jewish Autonomous Oblast,132
Russia,80,Nenetskiy Avtonomnyy Okrug,116
Russia,81,Chukotskiy Avtonomnyy Okrug,12
